Anomaly,Anomaly_Score,timestamp,hostname,user_id,dept,action_type,resource,result,process_name,severity,client_ip,location
1,0.00782333634734822,2025.1.1 00:00,exim-db-21,exim_u3081,자금운용부,process_start,powershell.exe,success,postgresql,WARNING,161.247.198.72,부산지점
0,-0.050173879698652724,2025.1.1 00:01,exim-core-30,exim_u3014,자금운용부,trade_doc_upload,db_dump.sql,success,keximdoc,WARNING,116.69.6.218,부산지점
0,-0.04592801281184955,2025.1.1 00:02,exim-db-21,exim_u3003,디지털전략부,trade_doc_upload,db_dump.sql,success,powershell.exe,WARNING,32.206.46.221,부산지점
0,-0.08045227253678977,2025.1.1 00:03,exim-db-21,exim_u3094,위험관리부,process_start,powershell.exe,fail,keximdoc,ERROR,100.15.182.86,서울본점
0,-0.06069217365485058,2025.1.1 00:04,exim-core-30,exim_u3035,위험관리부,trade_doc_upload,수출계약서_2025.pdf,success,postgresql,WARNING,120.38.212.127,런던지점
0,-0.07899043634778691,2025.1.1 00:05,exim-core-30,exim_u3031,위험관리부,trade_doc_upload,powershell.exe,fail,keximdoc,INFO,129.196.162.118,런던지점
0,-0.07684770615679548,2025.1.1 00:06,exim-db-21,exim_u3028,디지털전략부,process_start,db_dump.sql,success,authd,ERROR,219.155.96.118,수출입보증센터
0,-0.08821122487901734,2025.1.1 00:07,exim-ops-16,exim_u3017,자금운용부,login_attempt,db_dump.sql,success,authd,WARNING,184.2.139.190,수출입보증센터
0,-0.07937318479989741,2025.1.1 00:08,exim-db-21,exim_u3094,디지털전략부,process_start,powershell.exe,fail,keximdoc,ERROR,39.231.149.8,수출입보증센터
0,-0.029086037530123954,2025.1.1 00:09,exim-db-21,exim_u3013,자금운용부,trade_doc_upload,수출계약서_2025.pdf,fail,powershell.exe,WARNING,108.53.227.103,런던지점
0,-0.06736634608090741,2025.1.1 00:10,exim-db-21,exim_u3086,디지털전략부,trade_doc_upload,수출계약서_2025.pdf,success,keximdoc,ERROR,179.78.102.21,서울본점
0,-0.07739744883098942,2025.1.1 00:11,exim-db-21,exim_u3094,디지털전략부,trade_doc_upload,powershell.exe,success,keximdoc,WARNING,186.232.29.139,부산지점
0,-0.018482083560172335,2025.1.1 00:12,exim-core-30,exim_u3069,자금운용부,process_start,powershell.exe,fail,powershell.exe,INFO,13.230.112.159,런던지점
0,-0.06578785517122132,2025.1.1 00:13,exim-db-21,exim_u3011,위험관리부,trade_doc_upload,수출계약서_2025.pdf,fail,powershell.exe,WARNING,42.177.155.255,서울본점
0,-0.0656905872789707,2025.1.1 00:14,exim-ops-16,exim_u3075,자금운용부,trade_doc_upload,db_dump.sql,fail,powershell.exe,ERROR,142.52.190.128,서울본점
0,-0.07044582367441277,2025.1.1 00:15,exim-core-30,exim_u3054,정보기술실,process_start,powershell.exe,fail,authd,ERROR,181.198.169.155,런던지점
0,-0.016203630014728132,2025.1.1 00:16,exim-ops-16,exim_u3004,정보기술실,login_attempt,수출계약서_2025.pdf,success,keximdoc,INFO,114.15.70.5,부산지점
0,-0.04742791539114877,2025.1.1 00:17,exim-ops-16,exim_u3003,자금운용부,login_attempt,수출계약서_2025.pdf,success,postgresql,ERROR,160.238.40.230,서울본점
0,-0.07252805927015116,2025.1.1 00:18,exim-ops-16,exim_u3011,디지털전략부,trade_doc_upload,db_dump.sql,success,powershell.exe,INFO,66.216.125.89,런던지점
0,-0.02009343202476299,2025.1.1 00:19,exim-ops-16,exim_u3027,정보기술실,process_start,db_dump.sql,success,powershell.exe,ERROR,34.45.96.106,부산지점
0,-0.06935384854862048,2025.1.1 00:20,exim-core-30,exim_u3029,정보기술실,trade_doc_upload,db_dump.sql,success,keximdoc,ERROR,4.188.7.226,수출입보증센터
0,-0.031351488889296286,2025.1.1 00:21,exim-core-30,exim_u3064,디지털전략부,process_start,db_dump.sql,fail,postgresql,INFO,141.43.9.121,서울본점
0,-0.08664185895527299,2025.1.1 00:22,exim-ops-16,exim_u3077,디지털전략부,process_start,db_dump.sql,fail,keximdoc,ERROR,138.49.23.11,서울본점
0,-0.11516819251839966,2025.1.1 00:23,exim-ops-16,exim_u3003,위험관리부,login_attempt,powershell.exe,fail,keximdoc,ERROR,63.81.60.52,런던지점
0,-0.04021406409010342,2025.1.1 00:24,exim-core-30,exim_u3071,디지털전략부,login_attempt,수출계약서_2025.pdf,success,powershell.exe,INFO,163.14.9.178,런던지점
1,0.006520930442754591,2025.1.1 00:25,exim-core-30,exim_u3025,자금운용부,process_start,powershell.exe,fail,powershell.exe,WARNING,128.106.86.87,부산지점
0,-0.061550749091480284,2025.1.1 00:26,exim-core-30,exim_u3091,자금운용부,trade_doc_upload,powershell.exe,success,authd,INFO,121.165.227.200,수출입보증센터
0,-0.07975865472287746,2025.1.1 00:27,exim-db-21,exim_u3083,위험관리부,login_attempt,powershell.exe,success,postgresql,ERROR,34.246.113.195,수출입보증센터
0,-0.06461279531761976,2025.1.1 00:28,exim-db-21,exim_u3089,정보기술실,trade_doc_upload,powershell.exe,success,postgresql,WARNING,62.54.23.54,런던지점
0,-0.04867877525640707,2025.1.1 00:29,exim-db-21,exim_u3069,정보기술실,login_attempt,powershell.exe,fail,powershell.exe,WARNING,109.58.76.136,런던지점
0,-0.05406904845930072,2025.1.1 00:30,exim-ops-16,exim_u3053,디지털전략부,login_attempt,db_dump.sql,success,powershell.exe,WARNING,200.136.142.133,부산지점
0,-0.03408448403294173,2025.1.1 00:31,exim-db-21,exim_u3028,자금운용부,trade_doc_upload,db_dump.sql,success,powershell.exe,INFO,45.78.58.119,런던지점
0,-0.03686739510721082,2025.1.1 00:32,exim-ops-16,exim_u3057,정보기술실,login_attempt,수출계약서_2025.pdf,fail,postgresql,WARNING,179.223.25.85,부산지점
0,-0.06891692553494011,2025.1.1 00:33,exim-ops-16,exim_u3075,위험관리부,login_attempt,powershell.exe,success,authd,WARNING,36.126.99.7,부산지점
0,-0.061613716082531744,2025.1.1 00:34,exim-db-21,exim_u3035,위험관리부,trade_doc_upload,수출계약서_2025.pdf,fail,postgresql,WARNING,70.77.132.32,수출입보증센터
1,0.0023751964582122698,2025.1.1 00:35,exim-ops-16,exim_u3000,자금운용부,login_attempt,db_dump.sql,success,powershell.exe,ERROR,84.107.88.153,부산지점
0,-0.030167271753268388,2025.1.1 00:36,exim-db-21,exim_u3097,위험관리부,login_attempt,db_dump.sql,fail,powershell.exe,INFO,111.61.6.138,수출입보증센터
0,-0.058766063334602436,2025.1.1 00:37,exim-db-21,exim_u3020,위험관리부,login_attempt,db_dump.sql,success,authd,INFO,73.19.18.234,수출입보증센터
0,-0.09010037326944331,2025.1.1 00:38,exim-core-30,exim_u3089,자금운용부,trade_doc_upload,powershell.exe,success,keximdoc,ERROR,76.25.107.129,수출입보증센터
0,-0.07528441381264361,2025.1.1 00:39,exim-db-21,exim_u3054,디지털전략부,process_start,powershell.exe,fail,keximdoc,WARNING,36.204.9.44,런던지점
0,-0.08954732117851572,2025.1.1 00:40,exim-core-30,exim_u3043,디지털전략부,trade_doc_upload,db_dump.sql,success,postgresql,ERROR,85.235.148.187,수출입보증센터
0,-0.010955068373010302,2025.1.1 00:41,exim-db-21,exim_u3035,위험관리부,process_start,수출계약서_2025.pdf,fail,keximdoc,ERROR,137.254.117.101,부산지점
0,-0.06715943539773594,2025.1.1 00:42,exim-db-21,exim_u3019,디지털전략부,login_attempt,수출계약서_2025.pdf,success,keximdoc,WARNING,64.206.63.91,런던지점
0,-0.028994456545272662,2025.1.1 00:43,exim-core-30,exim_u3027,디지털전략부,process_start,db_dump.sql,fail,postgresql,WARNING,210.146.93.229,부산지점
0,-0.04181766917135332,2025.1.1 00:44,exim-core-30,exim_u3097,위험관리부,trade_doc_upload,수출계약서_2025.pdf,success,powershell.exe,INFO,37.141.49.110,런던지점
0,-0.07033122112472312,2025.1.1 00:45,exim-db-21,exim_u3043,디지털전략부,trade_doc_upload,db_dump.sql,success,keximdoc,WARNING,223.56.99.243,부산지점
0,-0.07437705705582476,2025.1.1 00:46,exim-ops-16,exim_u3013,위험관리부,login_attempt,수출계약서_2025.pdf,success,powershell.exe,ERROR,218.246.123.252,서울본점
0,-0.05301383336265464,2025.1.1 00:47,exim-core-30,exim_u3011,정보기술실,process_start,db_dump.sql,fail,postgresql,ERROR,56.253.87.82,서울본점
0,-0.05446820090318494,2025.1.1 00:48,exim-ops-16,exim_u3048,자금운용부,login_attempt,수출계약서_2025.pdf,fail,powershell.exe,WARNING,39.139.182.56,서울본점
1,0.0007863873584167402,2025.1.1 00:49,exim-ops-16,exim_u3012,자금운용부,login_attempt,powershell.exe,fail,powershell.exe,INFO,139.65.151.202,부산지점
0,-0.07472000280058688,2025.1.1 00:50,exim-ops-16,exim_u3045,디지털전략부,trade_doc_upload,db_dump.sql,fail,postgresql,ERROR,88.210.250.55,런던지점
0,-0.057037570176094676,2025.1.1 00:51,exim-core-30,exim_u3044,디지털전략부,process_start,db_dump.sql,fail,powershell.exe,WARNING,61.253.113.39,수출입보증센터
0,-0.04695168732247912,2025.1.1 00:52,exim-ops-16,exim_u3077,디지털전략부,process_start,수출계약서_2025.pdf,success,keximdoc,INFO,22.54.44.58,수출입보증센터
0,-0.004483011825118788,2025.1.1 00:53,exim-core-30,exim_u3033,자금운용부,process_start,db_dump.sql,success,keximdoc,INFO,132.125.231.15,부산지점
0,-0.03652086275660016,2025.1.1 00:54,exim-ops-16,exim_u3005,정보기술실,process_start,db_dump.sql,success,keximdoc,ERROR,223.74.202.229,부산지점
0,-0.010200907092216327,2025.1.1 00:55,exim-db-21,exim_u3093,정보기술실,login_attempt,db_dump.sql,success,keximdoc,ERROR,180.139.100.109,부산지점
1,0.027193714979642847,2025.1.1 00:56,exim-db-21,exim_u3058,자금운용부,login_attempt,powershell.exe,success,powershell.exe,INFO,196.34.107.167,부산지점
0,-0.06695332281955368,2025.1.1 00:57,exim-core-30,exim_u3068,정보기술실,trade_doc_upload,powershell.exe,fail,keximdoc,INFO,27.133.176.94,수출입보증센터
0,-0.007977621890501108,2025.1.1 00:58,exim-db-21,exim_u3015,자금운용부,login_attempt,수출계약서_2025.pdf,success,powershell.exe,INFO,195.81.199.142,런던지점
0,-0.07600653660098511,2025.1.1 00:59,exim-db-21,exim_u3048,정보기술실,login_attempt,powershell.exe,fail,authd,WARNING,35.44.87.197,수출입보증센터
0,-0.04367401294108364,2025.1.1 01:00,exim-ops-16,exim_u3010,위험관리부,trade_doc_upload,수출계약서_2025.pdf,success,powershell.exe,ERROR,52.80.139.176,부산지점
0,-0.06902136182178886,2025.1.1 01:01,exim-core-30,exim_u3070,위험관리부,trade_doc_upload,powershell.exe,fail,keximdoc,INFO,195.77.127.48,서울본점
