LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,081109,203518,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
2,081109,203518,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,E22,BLOCK* NameSystem.allocateBlock:<*>
3,081109,203519,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
4,081109,203519,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010,E5,Receiving block <*> src: /<*> dest: /<*>
5,081109,203519,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1608999687919862906 terminating,E11,PacketResponder <*> for block <*> terminating
6,081109,203519,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-1608999687919862906 terminating,E11,PacketResponder <*> for block <*> terminating
7,081109,203519,145,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.10.6,E9,Received block <*> of size <*> from /<*>
8,081109,203519,145,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.19.102,E9,Received block <*> of size <*> from /<*>
9,081109,203519,147,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-1608999687919862906 terminating,E11,PacketResponder <*> for block <*> terminating
10,081109,203519,147,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.14.224,E9,Received block <*> of size <*> from /<*>
11,081109,203519,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 91178,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
12,081109,203519,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to blk_-1608999687919862906 size 91178,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
13,081109,203519,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-1608999687919862906 size 91178,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
14,081109,203520,142,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.215.16:55695 dest: /10.251.215.16:50010,E5,Receiving block <*> src: /<*> dest: /<*>
15,081109,203520,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.250.19.102:34232 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
16,081109,203520,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044,E22,BLOCK* NameSystem.allocateBlock:<*>
17,081109,203521,143,INFO,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178,E6,Received block <*> src: /<*> dest: /<*> of size <*>
18,081109,203521,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010,E5,Receiving block <*> src: /<*> dest: /<*>
19,081109,203521,144,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.71.16:51590 dest: /10.251.71.16:50010,E5,Receiving block <*> src: /<*> dest: /<*>
