날짜,시간,이벤트,사용자,IP
250710,225152,file_access,user3986,192.168.167.186
250716,204641,update,user7395,192.168.22.91
250715,201407,login,user1768,192.168.232.239
250715,224024,logout,user1871,192.168.116.232
250730,084529,error,user1914,192.168.53.76
250704,062838,update,user1878,192.168.8.24
250702,153654,file_access,user8674,192.168.116.197
250720,172146,logout,user9913,192.168.203.3
250716,082217,logout,user9342,192.168.254.243
250725,021458,file_access,user8195,192.168.22.178
250716,072635,file_access,user2634,192.168.52.61
250709,080434,file_access,user9467,192.168.238.62
250713,031822,error,user7520,192.168.193.224
250707,182940,file_access,user9693,192.168.22.56
250707,234641,update,user3470,192.168.130.4
250724,084923,error,user4235,192.168.99.247
250725,162051,update,user2999,192.168.56.119
250729,194749,logout,user2140,192.168.155.29
250723,194638,error,user8957,192.168.152.202
250723,210738,login,user8232,192.168.122.184
250716,122615,file_access,user2338,192.168.39.190
250718,012208,error,user1500,192.168.251.145
250701,031217,error,user7808,192.168.157.171
250724,055010,error,user4985,192.168.35.197
250719,061531,logout,user1624,192.168.195.119
250705,031724,file_access,user3470,192.168.9.81
250715,124238,update,user8398,192.168.34.63
250702,160335,logout,user1802,192.168.17.157
250730,081351,logout,user2652,192.168.90.172
250723,081138,login,user9588,192.168.167.35
250727,144754,update,user8938,192.168.153.108
250718,122437,logout,user3856,192.168.57.185
250709,154846,error,user8694,192.168.211.203
250722,141846,logout,user5041,192.168.82.85
250725,154449,update,user9515,192.168.226.191
250712,003322,error,user3373,192.168.153.47
250705,134350,error,user6920,192.168.13.52
250708,074325,update,user6578,192.168.24.96
250701,010702,logout,user9528,192.168.211.190
250726,175511,error,user9454,192.168.54.239
250731,142757,error,user2434,192.168.168.85
250704,212527,file_access,user2971,192.168.202.113
250704,204939,update,user6969,192.168.9.146
250717,060856,file_access,user5386,192.168.191.73
250722,225422,error,user3964,192.168.243.244
250708,103640,file_access,user7628,192.168.246.12
250701,205150,update,user4783,192.168.63.241
250705,015904,login,user9232,192.168.146.254
