Anomaly,Anomaly_Score,timestamp,hostname,user_id,dept,action_type,resource,result,process_name,severity,client_ip,location,message_id,message,bank
1,0.0363175053914442,2025.1.1 00:26,exim-core-30,exim_u3091,자금운용부,trade_doc_upload,powershell.exe,success,authd,INFO,121.165.227.200,수출입보증센터,MSG992244,exim_u3091 performed trade_doc_upload on powershell.exe at 수출입보증센터 - result=success,수출입은행
1,0.0018455142613595,2025.1.1 00:56,exim-db-21,exim_u3058,자금운용부,login_attempt,powershell.exe,success,powershell.exe,INFO,196.34.107.167,부산지점,MSG959873,exim_u3058 performed login_attempt on powershell.exe at 부산지점 - result=success,수출입은행
1,0.0135301783246529,2025.1.1 01:18,exim-db-21,exim_u3048,디지털전략부,process_start,수출계약서_2025.pdf,success,keximdoc,INFO,200.42.60.247,부산지점,MSG907897,exim_u3048 performed process_start on 수출계약서_2025.pdf at 부산지점 - result=success,수출입은행
1,0.0121112500533292,2025.1.1 01:44,exim-db-21,exim_u3088,정보기술실,process_start,수출계약서_2025.pdf,fail,powershell.exe,INFO,206.136.21.104,부산지점,MSG970419,exim_u3088 performed process_start on 수출계약서_2025.pdf at 부산지점 - result=fail,수출입은행
1,0.045869098705765,2025.1.1 01:47,exim-db-21,exim_u3087,정보기술실,process_start,db_dump.sql,fail,powershell.exe,INFO,24.102.100.74,런던지점,MSG916691,exim_u3087 performed process_start on db_dump.sql at 런던지점 - result=fail,수출입은행
1,0.0015009431793838,2025.1.1 01:53,exim-db-21,exim_u3004,자금운용부,trade_doc_upload,powershell.exe,success,powershell.exe,INFO,11.22.56.235,부산지점,MSG939107,exim_u3004 performed trade_doc_upload on powershell.exe at 부산지점 - result=success,수출입은행
1,0.0183481558889572,2025.1.1 02:37,exim-core-30,exim_u3049,디지털전략부,login_attempt,db_dump.sql,fail,powershell.exe,WARNING,94.31.55.76,부산지점,MSG966046,exim_u3049 performed login_attempt on db_dump.sql at 부산지점 - result=fail,수출입은행
1,0.0181242345819707,2025.1.1 02:46,exim-ops-16,exim_u3092,자금운용부,trade_doc_upload,수출계약서_2025.pdf,fail,authd,ERROR,220.190.203.221,수출입보증센터,MSG942030,exim_u3092 performed trade_doc_upload on 수출계약서_2025.pdf at 수출입보증센터 - result=fail,수출입은행
1,0.0232006045236573,2025.1.1 02:48,exim-core-30,exim_u3087,디지털전략부,login_attempt,수출계약서_2025.pdf,success,powershell.exe,ERROR,144.96.100.44,수출입보증센터,MSG939552,exim_u3087 performed login_attempt on 수출계약서_2025.pdf at 수출입보증센터 - result=success,수출입은행
1,0.0495616452977702,2025.1.1 03:08,exim-ops-16,exim_u3013,자금운용부,process_start,수출계약서_2025.pdf,success,powershell.exe,INFO,3.233.227.245,부산지점,MSG984320,exim_u3013 performed process_start on 수출계약서_2025.pdf at 부산지점 - result=success,수출입은행
1,0.048796613710685,2025.1.1 03:23,exim-ops-16,exim_u3076,자금운용부,process_start,powershell.exe,fail,postgresql,WARNING,106.60.86.52,부산지점,MSG931584,exim_u3076 performed process_start on powershell.exe at 부산지점 - result=fail,수출입은행
1,0.001230235872966,2025.1.1 03:46,exim-ops-16,exim_u3070,디지털전략부,login_attempt,powershell.exe,success,postgresql,ERROR,126.118.50.54,런던지점,MSG970206,exim_u3070 performed login_attempt on powershell.exe at 런던지점 - result=success,수출입은행
1,0.002628644158076,2025.1.1 03:47,exim-db-21,exim_u3021,디지털전략부,process_start,수출계약서_2025.pdf,success,keximdoc,WARNING,132.219.223.203,부산지점,MSG994972,exim_u3021 performed process_start on 수출계약서_2025.pdf at 부산지점 - result=success,수출입은행
1,0.020172999996748,2025.1.1 04:12,exim-db-21,exim_u3002,정보기술실,process_start,수출계약서_2025.pdf,fail,powershell.exe,INFO,63.46.93.151,부산지점,MSG915376,exim_u3002 performed process_start on 수출계약서_2025.pdf at 부산지점 - result=fail,수출입은행
1,0.0024173803035579,2025.1.1 04:15,exim-db-21,exim_u3029,자금운용부,login_attempt,db_dump.sql,success,postgresql,INFO,199.143.72.167,런던지점,MSG962773,exim_u3029 performed login_attempt on db_dump.sql at 런던지점 - result=success,수출입은행
